name,year,population,gdp_percap,life_exp,region,oecd,lat,long,income2017,Year-category,TotalGDP
Benin,1840,774654,659,31,africa,FALSE,9.5,2.25,low,1840,510496986
Burkina Faso,1840,1927874,492,29.2,africa,FALSE,12.5,-1.66667,low,1840,948514008
Central African Republic,1840,527682,468,30,africa,FALSE,7,21,low,1840,246955176
Chad,1840,1432000,462,30.9,africa,FALSE,15,19,low,1840,661584000
Comoros,1840,65999,725,32.1,africa,FALSE,-12.23333,44.44553,low,1840,47849275
"Congo, Dem. Rep.",1840,5897569,572,31.6,africa,FALSE,-2.5,23.5,low,1840,3373409468
Eritrea,1840,267839,561,30.2,africa,FALSE,15,39,low,1840,150257679
Ethiopia,1840,3923805,528,29.7,africa,FALSE,9,39.5,low,1840,2071769040
Gambia,1840,119945,833,28.8,africa,FALSE,13.5,-15.5,low,1840,99914185
Guinea,1840,1175256,470,29.91,africa,FALSE,10.83333,-10.66667,low,1840,552370320
Guinea-Bissau,1840,249424,792,32,africa,FALSE,12,-15,low,1840,197543808
Liberia,1840,369920,843,31.1,africa,FALSE,6.5,-9.5,low,1840,311842560
Madagascar,1840,1930536,633,30.5,africa,FALSE,-20,47,low,1840,1222029288
Malawi,1840,737000,352,30.3,africa,FALSE,-13.5,34,low,1840,259424000
Mali,1840,1689342,608,26.41,africa,FALSE,18,-2,low,1840,1027119936
Mozambique,1840,2494631,400,30.28,africa,FALSE,-18.25,35,low,1840,997852400
Niger,1840,1383237,493,30.8,africa,FALSE,18,9,low,1840,681935841
Senegal,1840,1155896,549,25.2,africa,FALSE,14.5,-14.25,low,1840,634586904
Sierra Leone,1840,908730,811,25.1,africa,FALSE,8.5,-11.5,low,1840,736980030
Somalia,1840,1134784,721,29.4,africa,FALSE,6,48,low,1840,818179264
Tanzania,1840,3241560,595,32.2,africa,FALSE,-6,35,low,1840,1928728200
Togo,1840,532290,754,31.3,africa,FALSE,8.66667,1.08333,low,1840,401346660
Uganda,1840,2246189,512,25.3,africa,FALSE,1.25,32.5,low,1840,1150048768
Zimbabwe,1840,1253642,912,33.7,africa,FALSE,-19,29.75,low,1840,1143321504
Benin,1850,853818,692,31,africa,FALSE,9.5,2.25,low,1850,590842056
Burkina Faso,1850,2073222,498,29.2,africa,FALSE,12.5,-1.66667,low,1850,1032464556
Central African Republic,1850,553476,492,30,africa,FALSE,7,21,low,1850,272310192
Chad,1850,1432000,485,30.9,africa,FALSE,15,19,low,1850,694520000
Comoros,1850,71389,732,32.1,africa,FALSE,-12.23333,44.44553,low,1850,52256748
"Congo, Dem. Rep.",1850,6300144,596,31.6,africa,FALSE,-2.5,23.5,low,1850,3754885824
Eritrea,1850,305654,576,30.2,africa,FALSE,15,39,low,1850,176056704
Ethiopia,1850,4517871,530,29.7,africa,FALSE,9,39.5,low,1850,2394471630
Gambia,1850,129198,838,28.8,africa,FALSE,13.5,-15.5,low,1850,108267924
Guinea,1850,1283517,480,30.02,africa,FALSE,10.83333,-10.66667,low,1850,616088160
Guinea-Bissau,1850,266586,799,32,africa,FALSE,12,-15,low,1850,213002214
Liberia,1850,401556,866,31.1,africa,FALSE,6.5,-9.5,low,1850,347747496
Madagascar,1850,2066759,664,30.5,africa,FALSE,-20,47,low,1850,1372327976
Malawi,1850,737000,353,30.3,africa,FALSE,-13.5,34,low,1850,260161000
Mali,1850,1852037,611,26.41,africa,FALSE,18,-2,low,1850,1131594607
Mozambique,1850,2719675,402,30.28,africa,FALSE,-18.25,35,low,1850,1093309350
Niger,1850,1457723,517,30.8,africa,FALSE,18,9,low,1850,753642791
Senegal,1850,1236126,576,25.2,africa,FALSE,14.5,-14.25,low,1850,712008576
Sierra Leone,1850,971609,851,25.1,africa,FALSE,8.5,-11.5,low,1850,826839259
Somalia,1850,1208406,728,29.4,africa,FALSE,6,48,low,1850,879719568
Tanzania,1850,3358108,611,32.2,africa,FALSE,-6,35,low,1850,2051803988
Togo,1850,581106,791,31.3,africa,FALSE,8.66667,1.08333,low,1850,459654846
Uganda,1850,2322049,538,25.3,africa,FALSE,1.25,32.5,low,1850,1249262362
Zimbabwe,1850,1346417,923,33.7,africa,FALSE,-19,29.75,low,1850,1242742891
Benin,1860,941470,726,31,africa,FALSE,9.5,2.25,low,1860,683507220
Burkina Faso,1860,2229242,503,29.2,africa,FALSE,12.5,-1.66667,low,1860,1121308726
Central African Republic,1860,581194,516,30,africa,FALSE,7,21,low,1860,299896104
Chad,1860,1439872,509,30.9,africa,FALSE,15,19,low,1860,732894848
Comoros,1860,77377,740,32.1,africa,FALSE,-12.23333,44.44553,low,1860,57258980
"Congo, Dem. Rep.",1860,6725314,621,31.6,africa,FALSE,-2.5,23.5,low,1860,4176419994
Eritrea,1860,348752,591,30.2,africa,FALSE,15,39,low,1860,206112432
Ethiopia,1860,5187597,531,29.7,africa,FALSE,9,39.5,low,1860,2754614007
Gambia,1860,139176,843,28.8,africa,FALSE,13.5,-15.5,low,1860,117325368
Guinea,1860,1401319,490,30.12,africa,FALSE,10.83333,-10.66667,low,1860,686646310
Guinea-Bissau,1860,286188,805,32,africa,FALSE,12,-15,low,1860,230381340
Liberia,1860,437090,890,31.1,africa,FALSE,6.5,-9.5,low,1860,389010100
Madagascar,1860,2211039,697,30.5,africa,FALSE,-20,47,low,1860,1541094183
Malawi,1860,741675,353,30.3,africa,FALSE,-13.5,34,low,1860,261811275
Mali,1860,2034750,613,26.41,africa,FALSE,18,-2,low,1860,1247301750
Mozambique,1860,2944165,404,30.28,africa,FALSE,-18.25,35,low,1860,1189442660
Niger,1860,1543423,543,30.8,africa,FALSE,18,9,low,1860,838078689
Senegal,1860,1326818,605,25.2,africa,FALSE,14.5,-14.25,low,1860,802724890
Sierra Leone,1860,1050455,893,25.1,africa,FALSE,8.5,-11.5,low,1860,938056315
Somalia,1860,1285806,735,29.4,africa,FALSE,6,48,low,1860,945067410
Tanzania,1860,3473380,628,32.2,africa,FALSE,-6,35,low,1860,2181282640
Togo,1860,633981,830,31.3,africa,FALSE,8.66667,1.08333,low,1860,526204230
Uganda,1860,2399359,564,25.3,africa,FALSE,1.25,32.5,low,1860,1353238476
Zimbabwe,1860,1444385,934,33.7,africa,FALSE,-19,29.75,low,1860,1349055590
Benin,1870,1038119,762,31,africa,FALSE,9.5,2.25,low,1870,791046678
Burkina Faso,1870,2397004,509,29.2,africa,FALSE,12.5,-1.66667,low,1870,1220075036
Central African Republic,1870,610299,541,30,africa,FALSE,7,21,low,1870,330171759
Chad,1870,1447743,534,30.9,africa,FALSE,15,19,low,1870,773094762
Comoros,1870,83867,747,32.1,africa,FALSE,-12.23333,44.44553,low,1870,62648649
"Congo, Dem. Rep.",1870,7179174,647,31.6,africa,FALSE,-2.5,23.5,low,1870,4644925578
Eritrea,1870,397927,606,30.2,africa,FALSE,15,39,low,1870,241143762
Ethiopia,1870,5956559,533,29.7,africa,FALSE,9,39.5,low,1870,3174845947
Gambia,1870,149925,848,28.8,africa,FALSE,13.5,-15.5,low,1870,127136400
Guinea,1870,1529933,500,30.22,africa,FALSE,10.83333,-10.66667,low,1870,764966500
Guinea-Bissau,1870,307224,812,32,africa,FALSE,12,-15,low,1870,249465888
Liberia,1870,475766,914,31.1,africa,FALSE,6.5,-9.5,low,1870,434850124
Madagascar,1870,2365391,731,30.5,africa,FALSE,-20,47,low,1870,1729100821
Malawi,1870,746350,354,30.3,africa,FALSE,-13.5,34,low,1870,264207900
Mali,1870,2235478,615,26.41,africa,FALSE,18,-2,low,1870,1374818970
Mozambique,1870,3187025,407,30.28,africa,FALSE,-18.25,35,low,1870,1297119175
Niger,1870,1634127,569,30.8,africa,FALSE,18,9,low,1870,929818263
Senegal,1870,1424144,635,25.2,africa,FALSE,14.5,-14.25,low,1870,904331440
Sierra Leone,1870,1135561,937,25.1,africa,FALSE,8.5,-11.5,low,1870,1064020657
Somalia,1870,1368164,742,29.4,africa,FALSE,6,48,low,1870,1015177688
Tanzania,1870,3592600,645,32.2,africa,FALSE,-6,35,low,1870,2317227000
Togo,1870,691667,871,31.3,africa,FALSE,8.66667,1.08333,low,1870,602441957
Uganda,1870,2479243,592,25.3,africa,FALSE,1.25,32.5,low,1870,1467711856
Zimbabwe,1870,1549480,945,33.7,africa,FALSE,-19,29.75,low,1870,1464258600
Benin,1880,1144004,799,31.35,africa,FALSE,9.5,2.25,low,1880,914059196
Burkina Faso,1880,2576528,515,29.59,africa,FALSE,12.5,-1.66667,low,1880,1326911920
Central African Republic,1880,640769,568,30.45,africa,FALSE,7,21,low,1880,363956792
Chad,1880,1455615,560,31.49,africa,FALSE,15,19,low,1880,815144400
Comoros,1880,90867,755,32.33,africa,FALSE,-12.23333,44.44553,low,1880,68604585
"Congo, Dem. Rep.",1880,7661544,674,32.06,africa,FALSE,-2.5,23.5,low,1880,5163880656
Eritrea,1880,453535,622,30.56,africa,FALSE,15,39,low,1880,282098770
Ethiopia,1880,6830859,535,27.05,africa,FALSE,9,39.5,low,1880,3654509565
Gambia,1880,161447,853,30.11,africa,FALSE,13.5,-15.5,low,1880,137714291
Guinea,1880,1669530,510,31.03,africa,FALSE,10.83333,-10.66667,low,1880,851460300
Guinea-Bissau,1880,329708,818,31.73,africa,FALSE,12,-15,low,1880,269701144
Liberia,1880,517639,939,31.76,africa,FALSE,6.5,-9.5,low,1880,486063021
Madagascar,1880,2529772,767,30.91,africa,FALSE,-20,47,low,1880,1940335124
Malawi,1880,751025,354,30.51,africa,FALSE,-13.5,34,low,1880,265862850
Mali,1880,2454683,617,27.02,africa,FALSE,18,-2,low,1880,1514539411
Mozambique,1880,3448114,409,30.92,africa,FALSE,-18.25,35,low,1880,1410278626
Niger,1880,1729822,598,31.42,africa,FALSE,18,9,low,1880,1034433556
Senegal,1880,1528153,666,25.74,africa,FALSE,14.5,-14.25,low,1880,1017749898
Sierra Leone,1880,1227067,983,25.9,africa,FALSE,8.5,-11.5,low,1880,1206206861
Somalia,1880,1455432,749,30.03,africa,FALSE,6,48,low,1880,1090118568
Tanzania,1880,3715609,662,32.58,africa,FALSE,-6,35,low,1880,2459733158
Togo,1880,754234,914,31.66,africa,FALSE,8.66667,1.08333,low,1880,689369876
Uganda,1880,2561607,621,25.38,africa,FALSE,1.25,32.5,low,1880,1590757947
Zimbabwe,1880,1661682,957,33.86,africa,FALSE,-19,29.75,low,1880,1590229674
Benin,1890,1260610,839,31.71,africa,FALSE,9.5,2.25,low,1890,1057651790
Burkina Faso,1890,2769401,520,29.99,africa,FALSE,12.5,-1.66667,low,1890,1440088520
Central African Republic,1890,672748,596,30.9,africa,FALSE,7,21,low,1890,400957808
Chad,1890,1463487,588,32.07,africa,FALSE,15,19,low,1890,860530356
Comoros,1890,98445,763,32.56,africa,FALSE,-12.23333,44.44553,low,1890,75113535
"Congo, Dem. Rep.",1890,8176081,703,32.52,africa,FALSE,-2.5,23.5,low,1890,5747784943
Eritrea,1890,516854,638,30.92,africa,FALSE,15,39,low,1890,329752852
Ethiopia,1890,7832385,537,4.01,africa,FALSE,9,39.5,low,1890,4205990745
Gambia,1890,173849,859,31.42,africa,FALSE,13.5,-15.5,low,1890,149336291
Guinea,1890,1821770,521,31.84,africa,FALSE,10.83333,-10.66667,low,1890,949142170
Guinea-Bissau,1890,353821,825,31.47,africa,FALSE,12,-15,low,1890,291902325
Liberia,1890,563168,964,32.41,africa,FALSE,6.5,-9.5,low,1890,542893952
Madagascar,1890,2705491,805,31.32,africa,FALSE,-20,47,low,1890,2177920255
Malawi,1890,755700,355,30.73,africa,FALSE,-13.5,34,low,1890,268273500
Mali,1890,2695217,619,27.62,africa,FALSE,18,-2,low,1890,1668339323
Mozambique,1890,3730214,411,31.56,africa,FALSE,-18.25,35,low,1890,1533117954
Niger,1890,1831048,627,32.04,africa,FALSE,18,9,low,1890,1148067096
Senegal,1890,1639687,699,26.27,africa,FALSE,14.5,-14.25,low,1890,1146141213
Sierra Leone,1890,1325752,1032,26.7,africa,FALSE,8.5,-11.5,low,1890,1368176064
Somalia,1890,1548224,756,30.67,africa,FALSE,6,48,low,1890,1170457344
Tanzania,1890,3842788,680,32.97,africa,FALSE,-6,35,low,1890,2613095840
Togo,1890,822418,960,32.01,africa,FALSE,8.66667,1.08333,low,1890,789521280
Uganda,1890,2646688,652,25.46,africa,FALSE,1.25,32.5,low,1890,1725640576
Zimbabwe,1890,1781946,968,34.03,africa,FALSE,-19,29.75,low,1890,1724923728
Benin,1900,1390021,880,32.06,africa,FALSE,9.5,2.25,low,1900,1223218480
Burkina Faso,1900,2977812,526,30.38,africa,FALSE,12.5,-1.66667,low,1900,1566329112
Central African Republic,1900,706436,626,31.35,africa,FALSE,7,21,low,1900,442228936
Chad,1900,1471359,617,32.66,africa,FALSE,15,19,low,1900,907828503
Comoros,1900,106702,770,32.79,africa,FALSE,-12.23333,44.44553,low,1900,82160540
"Congo, Dem. Rep.",1900,8727833,732,32.98,africa,FALSE,-2.5,23.5,low,1900,6388773756
Eritrea,1900,589731,654,31.28,africa,FALSE,15,39,low,1900,385684074
Ethiopia,1900,8993179,539,29.86,africa,FALSE,9,39.5,low,1900,4847323481
Gambia,1900,187276,864,32.73,africa,FALSE,13.5,-15.5,low,1900,161806464
Guinea,1900,1988973,532,32.65,africa,FALSE,10.83333,-10.66667,low,1900,1058133636
Guinea-Bissau,1900,379807,832,31.2,africa,FALSE,12,-15,low,1900,315999424
Liberia,1900,612986,991,33.07,africa,FALSE,6.5,-9.5,low,1900,607469126
Madagascar,1900,2894356,845,31.73,africa,FALSE,-20,47,low,1900,2445730820
Malawi,1900,780171,355,30.94,africa,FALSE,-13.5,34,low,1900,276960705
Mali,1900,2961060,621,28.23,africa,FALSE,18,-2,low,1900,1838818260
Mozambique,1900,4037289,414,32.2,africa,FALSE,-18.25,35,low,1900,1671437646
Niger,1900,1938530,658,32.66,africa,FALSE,18,9,low,1900,1275552740
Senegal,1900,1759892,734,26.81,africa,FALSE,14.5,-14.25,low,1900,1291760728
Sierra Leone,1900,1432659,1083,27.49,africa,FALSE,8.5,-11.5,low,1900,1551569697
