,name,year,population,gdp_percap,life_exp,region,oecd,g77,lat,long,income2017
36,China,1800,321675013,984,32,asia,FALSE,TRUE,35,105,upper_mid
37,Colombia,1800,1206000,962,32,americas,FALSE,TRUE,4,-73.25,upper_mid
38,Comoros,1800,56346,696,32.1,africa,FALSE,TRUE,-12.23333,44.44553,low
39,"Congo, Dem. Rep.",1800,5163819,485,31.6,africa,FALSE,TRUE,-2.5,23.5,low
40,"Congo, Rep.",1800,314465,575,32.7,africa,FALSE,TRUE,-1,15.5,lower_mid
41,Costa Rica,1800,51987,775,30.21,americas,FALSE,TRUE,10,-84,upper_mid
42,Cote d'Ivoire,1800,1088530,812,31.16,africa,FALSE,TRUE,8,-5.5,lower_mid
43,Croatia,1800,1227886,1078,36.1,europe,FALSE,FALSE,45.16667,15.5,upper_mid
44,Cuba,1800,345043,864,32.2,americas,FALSE,TRUE,22,-79.5,upper_mid
45,Cyprus,1800,184392,853,38.5,europe,FALSE,FALSE,35,33,high
46,Czech Republic,1800,5516349,1915,34.95,europe,TRUE,FALSE,49.75,15,high
47,Denmark,1800,1062514,2012,37.41,europe,TRUE,FALSE,56,10,high
48,Djibouti,1800,22848,752,29.9,africa,FALSE,TRUE,11.58901,43.14503,lower_mid
49,Dominica,1800,19950,663,NA,americas,FALSE,TRUE,15.5,-61.33333,upper_mid
50,Dominican Republic,1800,89000,667,29.9,americas,FALSE,TRUE,19,-70.66667,upper_mid
51,Ecuador,1800,5.00E+05,529,32.9,americas,FALSE,TRUE,-1.25,-78.25,upper_mid
52,Egypt,1800,4243515,790,33,africa,FALSE,TRUE,27,30,lower_mid
53,El Salvador,1800,248000,974,28.7,americas,FALSE,TRUE,13.83333,-88.91667,lower_mid
54,Equatorial Guinea,1800,80377,356,29.8,africa,FALSE,TRUE,1.7,10.5,upper_mid
55,Eritrea,1800,205010,532,30.2,africa,FALSE,TRUE,15,39,low
56,Estonia,1800,334136,938,36.14,europe,FALSE,FALSE,59,26,high
57,Ethiopia,1800,2948990,523,29.7,africa,FALSE,TRUE,9,39.5,low
58,Fiji,1800,130533,785,26.1,asia,FALSE,TRUE,-18,178,upper_mid
59,Finland,1800,977662,1243,36.57,europe,TRUE,FALSE,64,26,high
60,France,1800,29355111,1802,33.97,europe,TRUE,FALSE,46,2,high
61,Gabon,1800,158227,390,30.6,africa,FALSE,TRUE,-1,11.75,upper_mid
62,Gambia,1800,103274,813,28.8,africa,FALSE,TRUE,13.5,-15.5,low
63,Georgia,1800,1072178,543,31.87,europe,FALSE,FALSE,41.99998,43.4999,lower_mid
64,Germany,1800,22886919,1639,38.37,europe,TRUE,FALSE,51.5,10.5,high
65,Ghana,1800,2016034,696,28,africa,FALSE,TRUE,8.1,-1.2,lower_mid
66,Greece,1800,2151155,1370,36.6,europe,TRUE,FALSE,39,22,high
67,Grenada,1800,29409,959,31.4,americas,FALSE,TRUE,12.11667,-61.66667,upper_mid
68,Guatemala,1800,458965,857,25.8,americas,FALSE,TRUE,14.64072,-90.51327,lower_mid
69,Guinea,1800,983959,450,29.5,africa,FALSE,TRUE,10.83333,-10.66667,low
70,Guinea-Bissau,1800,218167,777,32,africa,FALSE,TRUE,12,-15,low
71,Guyana,1800,166034,1214,31.12,americas,FALSE,TRUE,5,-59,upper_mid
72,Haiti,1800,723000,633,29,americas,FALSE,TRUE,19,-72.41667,low
73,Honduras,1800,126118,675,33.9,americas,FALSE,TRUE,15,-86.5,lower_mid
74,"Hong Kong, China",1800,20000,1006,34.9,asia,FALSE,FALSE,22.28552,114.15769,high
75,Hungary,1800,3499771,1248,36,europe,TRUE,FALSE,47,20,high
76,Iceland,1800,61428,926,42.85,europe,TRUE,FALSE,65,-18,high
77,India,1800,168574895,1052,25.44,asia,FALSE,TRUE,22,79,lower_mid
78,Indonesia,1800,16108545,994,30,asia,FALSE,TRUE,-5,120,lower_mid
79,Iran,1800,6269721,976,25.6,asia,FALSE,TRUE,32,53,upper_mid
80,Iraq,1800,1076920,969,31.2,asia,FALSE,TRUE,33,44,upper_mid
81,Ireland,1800,4064749,1446,38.3,europe,TRUE,FALSE,53,-8,high
82,Israel,1800,209954,879,32,asia,FALSE,FALSE,31.5,34.75,high
83,Italy,1800,18822234,2224,29.69,europe,TRUE,FALSE,42.83333,12.83333,high
84,Jamaica,1800,401000,1170,34.2,americas,FALSE,TRUE,18.16667,-77.25,upper_mid
85,Japan,1800,30294378,1049,36.4,asia,TRUE,FALSE,35.68536,139.75309,high
86,Jordan,1800,217000,976,31.7,asia,FALSE,TRUE,31,36,lower_mid
87,Kazakhstan,1800,2041282,1140,26.2,asia,FALSE,FALSE,48,68,upper_mid
88,Kenya,1800,2574000,854,25.5,africa,FALSE,TRUE,1,38,lower_mid
89,Kiribati,1800,17876,551,24.9,asia,FALSE,FALSE,1.421,172.984,lower_mid
90,North Korea,1800,4345000,578,26,asia,FALSE,TRUE,40,127,low
91,South Korea,1800,9395000,575,25.8,asia,TRUE,FALSE,36.5,127.75,high
92,Kuwait,1800,81280,1097,26,asia,FALSE,TRUE,29.36972,47.97833,high
93,Kyrgyz Republic,1800,530343,508,23.94,asia,FALSE,FALSE,41.5,75,lower_mid
94,Lao,1800,470000,864,31.9,asia,FALSE,TRUE,18,105,lower_mid
95,Latvia,1800,590588,751,33,europe,FALSE,FALSE,57,25,high
96,Lebanon,1800,332000,1081,29.7,asia,FALSE,TRUE,33.83333,35.83333,upper_mid
97,Lesotho,1800,276361,393,32.8,africa,FALSE,TRUE,-29.5,28.25,lower_mid
98,Liberia,1800,313543,797,31.1,africa,FALSE,TRUE,6.5,-9.5,low
99,Libya,1800,531472,1050,33.1,africa,FALSE,TRUE,28,17,upper_mid
100,Liechtenstein,1800,5802,,NA,europe,FALSE,FALSE,47.16667,9.53333,high
101,Lithuania,1800,778655,1270,28.9,europe,FALSE,FALSE,55.41667,24,high
102,Luxembourg,1800,127030,1453,36.9,europe,TRUE,FALSE,49.61167,6.13,high
103,"Macedonia, FYR",1800,391865,690,36.1,europe,FALSE,FALSE,41.66667,21.75,upper_mid
104,Madagascar,1800,1543133,573,30.5,africa,FALSE,TRUE,-20,47,low
105,Malawi,1800,737000,350,30.3,africa,FALSE,TRUE,-13.5,34,low
106,Malaysia,1800,287000,997,30.6,asia,FALSE,TRUE,2.5,112.5,upper_mid
107,Maldives,1800,42378,842,32.65,asia,FALSE,TRUE,3.2,73,upper_mid
108,Mali,1800,1403398,603,26.41,africa,FALSE,TRUE,18,-2,low
109,Malta,1800,134072,781,28.7,europe,FALSE,FALSE,35.91667,14.43333,high
110,Marshall Islands,1800,5828,539,NA,asia,FALSE,TRUE,7.113,171.236,upper_mid
111,Mauritania,1800,382696,527,32,africa,FALSE,TRUE,20.25,-10.5,lower_mid
112,Mauritius,1800,62865,940,28.7,africa,FALSE,TRUE,-20.3,57.58333,upper_mid
113,Mexico,1800,6181708,1378,26.9,americas,TRUE,FALSE,19.42847,-99.12766,upper_mid
114,"Micronesia, Fed. Sts.",1800,16416,518,26.7,asia,FALSE,TRUE,6.924,158.162,lower_mid
115,Moldova,1800,712558,621,33.15,europe,FALSE,FALSE,47.25,28.58333,lower_mid
116,Monaco,1800,7789,1948,NA,europe,FALSE,FALSE,43.73333,7.41667,high
117,Mongolia,1800,619000,592,31.8,asia,FALSE,TRUE,46,105,lower_mid
118,Montenegro,1800,126582,1057,35.4,europe,FALSE,FALSE,42.75,19.25,upper_mid
119,Morocco,1800,2503218,714,33.1,africa,FALSE,TRUE,32,-6,lower_mid
120,Mozambique,1800,1982324,390,30.28,africa,FALSE,TRUE,-18.25,35,low
121,Myanmar,1800,3506000,840,30.8,asia,FALSE,TRUE,21,96,lower_mid
122,Namibia,1800,229000,540,32.4,africa,FALSE,TRUE,-22,17,upper_mid
123,Nauru,1800,1834,554,NA,asia,FALSE,FALSE,-0.517,166.933,upper_mid
124,Nepal,1800,3881000,654,32.8,asia,FALSE,TRUE,28,84,low
125,Netherlands,1800,2254522,4233,39.86,europe,TRUE,FALSE,52.25,5.75,high
126,New Zealand,1800,1.00E+05,658,34.05,asia,TRUE,FALSE,-42,174,high
127,Nicaragua,1800,219387,973,25.4,americas,FALSE,TRUE,13,-85,lower_mid
128,Niger,1800,1244861,446,30.8,africa,FALSE,TRUE,18,9,low
129,Nigeria,1800,12100855,851,30.4,africa,FALSE,TRUE,10,8,lower_mid
130,Norway,1800,868570,1277,37.92,europe,TRUE,FALSE,62,10,high
131,Oman,1800,318000,915,32.3,asia,FALSE,TRUE,21,57,high
132,Pakistan,1800,13123633,1021,25.8,asia,FALSE,TRUE,30,70,lower_mid
133,Palau,1800,3875,839,NA,asia,FALSE,FALSE,7.503,134.621,high
134,Panama,1800,78842,847,32.9,americas,FALSE,TRUE,8.9936,-79.51973,upper_mid
135,Papua New Guinea,1800,754894,546,31.5,asia,FALSE,TRUE,-6,147,lower_mid
136,Paraguay,1800,143000,835,35.5,americas,FALSE,TRUE,-23.33333,-58,upper_mid
137,Peru,1800,1314151,1203,35.7,americas,FALSE,TRUE,-10,-75.25,upper_mid
138,Philippines,1800,1894389,962,30.9,asia,FALSE,TRUE,13,122,lower_mid
139,Poland,1800,9508747,1212,35.9,europe,TRUE,FALSE,52,20,high
140,Portugal,1800,3033454,1684,35.6,europe,TRUE,FALSE,39.6945,-8.13057,high
141,Qatar,1800,14092,1097,30.8,asia,FALSE,TRUE,25.27932,51.52245,high
142,Romania,1800,5464085,815,35.7,europe,FALSE,FALSE,46,25,upper_mid
143,Russia,1800,31088398,1430,29.57,europe,FALSE,FALSE,60,100,upper_mid
144,Rwanda,1800,928368,431,31.8,africa,FALSE,TRUE,-2,30,low
145,St. Kitts and Nevis,1800,17202,1164,NA,americas,FALSE,TRUE,17.33333,-62.75,high
146,St. Lucia,1800,24000,874,28.01,americas,FALSE,TRUE,13.88333,-60.96667,upper_mid
147,St. Vincent and the Grenadines,1800,25781,838,25.99,americas,FALSE,TRUE,13.08333,-61.2,upper_mid
148,Samoa,1800,47300,1400,25.4,asia,FALSE,TRUE,-13.8,-172.13333,upper_mid
149,San Marino,1800,5492,1401,NA,europe,FALSE,FALSE,43.93667,12.44639,high
150,Sao Tome and Principe,1800,22731,850,31,africa,FALSE,TRUE,1,7,lower_mid
151,Saudi Arabia,1800,2091000,846,32.1,asia,FALSE,TRUE,25,45,high
152,Senegal,1800,1009886,497,25.2,africa,FALSE,TRUE,14.5,-14.25,low
153,Serbia,1800,2147197,1358,35.5,europe,FALSE,FALSE,44.81892,20.45998,upper_mid
154,Seychelles,1800,12522,792,37,africa,FALSE,TRUE,-4.58333,55.66667,high
155,Sierra Leone,1800,794264,734,25.1,africa,FALSE,TRUE,8.5,-11.5,low
156,Singapore,1800,30000,1021,29.1,asia,FALSE,TRUE,1.28967,103.85007,high
157,Slovak Republic,1800,2140651,1427,36.4,europe,TRUE,FALSE,48.66667,19.5,high
158,Slovenia,1800,469664,1409,36.6,europe,FALSE,FALSE,46.08333,15,high
159,Solomon Islands,1800,56998,363,25.1,asia,FALSE,TRUE,-8,159,lower_mid
160,Somalia,1800,991488,694,29.4,africa,FALSE,TRUE,6,48,low
161,South Africa,1800,1440820,1479,33.5,africa,FALSE,TRUE,-29,24,upper_mid
162,Spain,1800,11549294,1517,29.5,europe,TRUE,FALSE,40,-4,high
163,Sri Lanka,1800,1213000,898,32.6,asia,FALSE,TRUE,7.75,80.75,lower_mid
164,Sudan,1800,3994154,518,31.4,africa,FALSE,TRUE,16,30,lower_mid
165,Suriname,1800,80721,1636,32.9,americas,FALSE,TRUE,4,-56,upper_mid
166,Swaziland,1800,86000,490,32.3,africa,FALSE,TRUE,-26.5,31.5,lower_mid
167,Sweden,1800,2354189,1413,32.16,europe,TRUE,FALSE,62,15,high
168,Switzerland,1800,1826051,2700,38,europe,TRUE,FALSE,47.00016,8.01427,high
169,Syria,1800,1337000,1080,31.1,asia,FALSE,TRUE,35,38,lower_mid
170,Taiwan,1800,2.00E+06,995,28.3,asia,FALSE,FALSE,24,121,high
171,Tajikistan,1800,466629,556,24.24,asia,FALSE,FALSE,39,71,lower_mid
172,Tanzania,1800,3019768,562,32.2,africa,FALSE,TRUE,-6,35,low
173,Thailand,1800,4665000,931,30.4,asia,FALSE,TRUE,15.5,101,upper_mid
174,Timor-Leste,1800,137262,521,28.95,asia,FALSE,TRUE,-8.83333,125.75,lower_mid
175,Togo,1800,445985,682,31.3,africa,FALSE,TRUE,8.66667,1.08333,low
176,Tonga,1800,18658,663,28.2,asia,FALSE,TRUE,-20,-175,upper_mid
177,Trinidad and Tobago,1800,60000,1230,32.9,americas,FALSE,TRUE,11,-61,high
178,Tunisia,1800,862029,715,28.8,africa,FALSE,TRUE,34,9,lower_mid
179,Turkey,1800,9773456,1221,35,europe,TRUE,FALSE,39,35,upper_mid
180,Turkmenistan,1800,367215,943,24,asia,FALSE,TRUE,39.75,59.66667,upper_mid
181,Tuvalu,1800,2499,719,NA,asia,FALSE,FALSE,-8.51719,179.14478,upper_mid
182,Uganda,1800,2101397,464,25.3,africa,FALSE,TRUE,1.25,32.5,low
183,Ukraine,1800,11215490,763,36.6,europe,FALSE,FALSE,49,32,lower_mid
184,United Arab Emirates,1800,40153,998,30.7,asia,FALSE,TRUE,23.75,54.5,high
185,United Kingdom,1800,12327466,3429,38.65,europe,TRUE,FALSE,54.75844,-2.69531,high
186,United States,1800,6801854,2127,39.41,americas,TRUE,FALSE,39.76,-98.5,high
187,Uruguay,1800,55000,1757,32.9,americas,FALSE,TRUE,-33,-56,high
188,Uzbekistan,1800,1919159,502,26.93,asia,FALSE,FALSE,41.66667,63.83333,lower_mid
189,Vanuatu,1800,27791,585,24.3,asia,FALSE,TRUE,-16,167,lower_mid
190,Venezuela,1800,718000,682,32.2,americas,FALSE,TRUE,8,-66,upper_mid
191,Palestine,1800,165944,1220,32.1,asia,FALSE,TRUE,31.92157,35.20329,lower_mid
192,Vietnam,1800,6551000,861,32,asia,FALSE,TRUE,16.16667,107.83333,lower_mid
193,Yemen,1800,2593000,877,23.39,asia,FALSE,TRUE,15.5,47.5,lower_mid
194,Zambia,1800,747000,663,32.6,africa,FALSE,TRUE,-14.33333,28.5,lower_mid
195,Zimbabwe,1800,1085814,869,33.7,africa,FALSE,TRUE,-19,29.75,low
196,South Sudan,1800,1027378,507,26.67,africa,FALSE,TRUE,7.5,30,low
197,Afghanistan,1810,3280000,604,28.11,asia,FALSE,TRUE,33,66,low
198,Albania,1810,423591,668,35.4,europe,FALSE,FALSE,41,20,upper_mid
199,Algeria,1810,2595056,725,28.82,africa,FALSE,TRUE,28,3,upper_mid
200,Andorra,1810,2654,1219,NA,europe,FALSE,FALSE,42.50779,1.52109,high
201,Angola,1810,1567028,645,26.98,africa,FALSE,TRUE,-12.5,18.5,lower_mid
202,Antigua and Barbuda,1810,37000,758,33.54,americas,FALSE,TRUE,17.05,-61.8,high
203,Argentina,1810,534000,1509,33.2,americas,FALSE,TRUE,-34,-64,upper_mid
204,Armenia,1810,413326,514,34,europe,FALSE,FALSE,40.25,45,lower_mid
205,Australia,1810,342440,833,34.05,asia,TRUE,FALSE,-25,135,high
206,Austria,1810,3286650,1923,34.4,europe,TRUE,FALSE,47.33333,13.33333,high
207,Azerbaijan,1810,879960,777,29.17,europe,FALSE,FALSE,40.5,47.5,upper_mid
208,Bahamas,1810,27350,1447,35.18,americas,FALSE,TRUE,25.04082,-77.37122,high
209,Bahrain,1810,64474,1289,30.3,asia,FALSE,TRUE,26.03333,50.55,high
210,Bangladesh,1810,19611269,875,25.5,asia,FALSE,TRUE,24,90,lower_mid
211,Barbados,1810,81729,915,32.12,americas,FALSE,TRUE,13.16667,-59.53333,high
212,Belarus,1810,2355081,611,36.2,europe,FALSE,FALSE,53,28,upper_mid
213,Belgium,1810,3283959,2415,40.08,europe,TRUE,FALSE,50.75,4.5,high
214,Belize,1810,25526,580,26.5,americas,FALSE,TRUE,17.49952,-88.19756,upper_mid
215,Benin,1810,636559,598,31,africa,FALSE,TRUE,9.5,2.25,low
216,Bhutan,1810,89989,630,28.8,asia,FALSE,TRUE,27.5,90.5,lower_mid
217,Bolivia,1810,1100000,855,33,americas,FALSE,TRUE,-17,-65,lower_mid
218,Bosnia and Herzegovina,1810,851806,670,35.1,europe,FALSE,TRUE,44.25,17.83333,upper_mid
219,Botswana,1810,121000,398,33.6,africa,FALSE,TRUE,-22,24,upper_mid
220,Brazil,1810,4058652,1110,32,americas,FALSE,TRUE,-10,-55,upper_mid
221,Brunei,1810,2128,1514,29.2,asia,FALSE,TRUE,4.5,114.66667,high
222,Bulgaria,1810,2088223,1090,36.24,europe,FALSE,FALSE,42.66667,25.25,upper_mid
223,Burkina Faso,1810,1665421,480,29.2,africa,FALSE,TRUE,12.5,-1.66667,low
224,Burundi,1810,899097,422,31.5,africa,FALSE,TRUE,-3.5,30,low
225,Cambodia,1810,2090000,905,35,asia,FALSE,TRUE,13,105,lower_mid
226,Cameroon,1810,1860054,627,28.75,africa,FALSE,TRUE,6,12.5,lower_mid
227,Canada,1810,727603,1399,39.01,americas,TRUE,FALSE,60.10867,-113.64258,high
228,Cape Verde,1810,55716,530,33.8,africa,FALSE,TRUE,16,-24,lower_mid
229,Central African Republic,1810,479444,425,30,africa,FALSE,TRUE,7,21,low
230,Chad,1810,1432000,419,30.9,africa,FALSE,TRUE,15,19,low
231,Chile,1810,771447,1027,32,americas,TRUE,TRUE,-33.45694,-70.64827,high
232,China,1810,350542958,985,32,asia,FALSE,TRUE,35,105,upper_mid
233,Colombia,1810,1206000,964,32,americas,FALSE,TRUE,4,-73.25,upper_mid
234,Comoros,1810,56346,703,32.1,africa,FALSE,TRUE,-12.23333,44.44553,low
235,"Congo, Dem. Rep.",1810,5163819,505,31.6,africa,FALSE,TRUE,-2.5,23.5,low
236,"Congo, Rep.",1810,314465,591,32.7,africa,FALSE,TRUE,-1,15.5,lower_mid
237,Costa Rica,1810,57584,776,30.21,americas,FALSE,TRUE,10,-84,upper_mid
238,Cote d'Ivoire,1810,1088530,845,31.16,africa,FALSE,TRUE,8,-5.5,lower_mid
239,Croatia,1810,1227886,1175,36.1,europe,FALSE,FALSE,45.16667,15.5,upper_mid
240,Cuba,1810,470176,970,33.64,americas,FALSE,TRUE,22,-79.5,upper_mid
241,Cyprus,1810,184590,855,38.5,europe,FALSE,FALSE,35,33,high
242,Czech Republic,1810,5516349,1918,34.95,europe,TRUE,FALSE,49.75,15,high
243,Denmark,1810,1108146,2049,41.71,europe,TRUE,FALSE,56,10,high
244,Djibouti,1810,22848,776,29.9,africa,FALSE,TRUE,11.58901,43.14503,lower_mid
245,Dominica,1810,19950,664,NA,americas,FALSE,TRUE,15.5,-61.33333,upper_mid
246,Dominican Republic,1810,89000,668,29.9,americas,FALSE,TRUE,19,-70.66667,upper_mid
247,Ecuador,1810,5.00E+05,530,32.9,americas,FALSE,TRUE,-1.25,-78.25,upper_mid
248,Egypt,1810,4218711,792,33,africa,FALSE,TRUE,27,30,lower_mid
249,El Salvador,1810,248000,976,28.7,americas,FALSE,TRUE,13.83333,-88.91667,lower_mid
250,Equatorial Guinea,1810,80377,360,29.8,africa,FALSE,TRUE,1.7,10.5,upper_mid
251,Eritrea,1810,205010,533,30.2,africa,FALSE,TRUE,15,39,low
252,Estonia,1810,334136,949,34.86,europe,FALSE,FALSE,59,26,high
253,Ethiopia,1810,2948990,523,29.7,africa,FALSE,TRUE,9,39.5,low
254,Fiji,1810,132682,786,26.1,asia,FALSE,TRUE,-18,178,upper_mid
255,Finland,1810,1070625,1266,36.95,europe,TRUE,FALSE,64,26,high
256,France,1810,30293172,1838,37.4,europe,TRUE,FALSE,46,2,high
257,Gabon,1810,158227,391,30.6,africa,FALSE,TRUE,-1,11.75,upper_mid
258,Gambia,1810,103274,818,28.8,africa,FALSE,TRUE,13.5,-15.5,low
259,Georgia,1810,1072178,544,31.87,europe,FALSE,FALSE,41.99998,43.4999,lower_mid
260,Germany,1810,23882461,1758,38.37,europe,TRUE,FALSE,51.5,10.5,high
261,Ghana,1810,2016034,701,28,africa,FALSE,TRUE,8.1,-1.2,lower_mid
262,Greece,1810,2230659,1394,36.6,europe,TRUE,FALSE,39,22,high
263,Grenada,1810,29409,960,31.4,americas,FALSE,TRUE,12.11667,-61.66667,upper_mid
264,Guatemala,1810,524190,858,25.8,americas,FALSE,TRUE,14.64072,-90.51327,lower_mid
265,Guinea,1810,983959,451,29.6,africa,FALSE,TRUE,10.83333,-10.66667,low
266,Guinea-Bissau,1810,218167,778,32,africa,FALSE,TRUE,12,-15,low
267,Guyana,1810,166034,1216,31.12,americas,FALSE,TRUE,5,-59,upper_mid
268,Haiti,1810,723000,634,29,americas,FALSE,TRUE,19,-72.41667,low
269,Honduras,1810,132182,676,33.9,americas,FALSE,TRUE,15,-86.5,lower_mid
270,"Hong Kong, China",1810,20000,1008,34.9,asia,FALSE,FALSE,22.28552,114.15769,high
271,Hungary,1810,3814221,1250,36,europe,TRUE,FALSE,47,20,high
272,Iceland,1810,61428,928,43.14,europe,TRUE,FALSE,65,-18,high
273,India,1810,171940819,1051,25.44,asia,FALSE,TRUE,22,79,lower_mid
274,Indonesia,1810,16537268,996,30,asia,FALSE,TRUE,-5,120,lower_mid
275,Iran,1810,6413820,978,25.6,asia,FALSE,TRUE,32,53,upper_mid
276,Iraq,1810,1084941,971,31.2,asia,FALSE,TRUE,33,44,upper_mid
277,Ireland,1810,4541676,1448,38.3,europe,TRUE,FALSE,53,-8,high
278,Israel,1810,209954,881,32,asia,FALSE,FALSE,31.5,34.75,high
279,Italy,1810,19491674,2369,29.69,europe,TRUE,FALSE,42.83333,12.83333,high
280,Jamaica,1810,401000,1171,34.2,americas,FALSE,TRUE,18.16667,-77.25,upper_mid
281,Japan,1810,30645903,1064,36.4,asia,TRUE,FALSE,35.68536,139.75309,high
282,Jordan,1810,217000,977,31.7,asia,FALSE,TRUE,31,36,lower_mid
283,Kazakhstan,1810,2041282,1153,26.2,asia,FALSE,FALSE,48,68,upper_mid
284,Kenya,1810,2574000,881,25.5,africa,FALSE,TRUE,1,38,lower_mid
285,Kiribati,1810,17876,556,24.9,asia,FALSE,FALSE,1.421,172.984,lower_mid
286,North Korea,1810,4345000,573,26,asia,FALSE,TRUE,40,127,low
287,South Korea,1810,9395000,570,25.8,asia,TRUE,FALSE,36.5,127.75,high
288,Kuwait,1810,81280,1139,26,asia,FALSE,TRUE,29.36972,47.97833,high
289,Kyrgyz Republic,1810,530343,509,23.94,asia,FALSE,FALSE,41.5,75,lower_mid
290,Lao,1810,470000,866,31.9,asia,FALSE,TRUE,18,105,lower_mid
291,Latvia,1810,590588,760,33,europe,FALSE,FALSE,57,25,high
292,Lebanon,1810,332000,1090,29.7,asia,FALSE,TRUE,33.83333,35.83333,upper_mid
293,Lesotho,1810,276361,395,32.8,africa,FALSE,TRUE,-29.5,28.25,lower_mid
294,Liberia,1810,313543,798,31.1,africa,FALSE,TRUE,6.5,-9.5,low
295,Libya,1810,534730,1051,33.1,africa,FALSE,TRUE,28,17,upper_mid
296,Liechtenstein,1810,5802,,NA,europe,FALSE,FALSE,47.16667,9.53333,high
297,Lithuania,1810,778655,1285,28.9,europe,FALSE,FALSE,55.41667,24,high
298,Luxembourg,1810,127030,1455,36.9,europe,TRUE,FALSE,49.61167,6.13,high
299,"Macedonia, FYR",1810,391865,691,36.1,europe,FALSE,FALSE,41.66667,21.75,upper_mid
300,Madagascar,1810,1612106,574,30.5,africa,FALSE,TRUE,-20,47,low
301,Malawi,1810,737000,350,30.3,africa,FALSE,TRUE,-13.5,34,low
302,Malaysia,1810,287000,998,30.6,asia,FALSE,TRUE,2.5,112.5,upper_mid
303,Maldives,1810,42378,844,32.65,asia,FALSE,TRUE,3.2,73,upper_mid
304,Mali,1810,1403398,603,26.41,africa,FALSE,TRUE,18,-2,low
305,Malta,1810,134072,783,28.7,europe,FALSE,FALSE,35.91667,14.43333,high
306,Marshall Islands,1810,5828,542,NA,asia,FALSE,TRUE,7.113,171.236,upper_mid
307,Mauritania,1810,382696,528,32,africa,FALSE,TRUE,20.25,-10.5,lower_mid
308,Mauritius,1810,78310,941,28.7,africa,FALSE,TRUE,-20.3,57.58333,upper_mid
309,Mexico,1810,6382317,1380,26.9,americas,TRUE,FALSE,19.42847,-99.12766,upper_mid
310,"Micronesia, Fed. Sts.",1810,16416,521,26.7,asia,FALSE,TRUE,6.924,158.162,lower_mid
311,Moldova,1810,712558,622,33.15,europe,FALSE,FALSE,47.25,28.58333,lower_mid
312,Monaco,1810,7789,1974,NA,europe,FALSE,FALSE,43.73333,7.41667,high
